"","country","countryname","oecdmember","eumember","edate","date","party","partyname","partyabbrev","parfam","coderid","manual","coderyear","testresult","testeditsim","pervote","voteest","presvote","absseat","totseats","progtype","datasetorigin","corpusversion","total","peruncod","per101","per102","per103","per104","per105","per106","per107","per108","per109","per110","per201","per202","per203","per204","per301","per302","per303","per304","per305","per401","per402","per403","per404","per405","per406","per407","per408","per409","per410","per411","per412","per413","per414","per415","per416","per501","per502","per503","per504","per505","per506","per507","per601","per602","per603","per604","per605","per606","per607","per608","per701","per702","per703","per704","per705","per706","per1011","per1012","per1013","per1014","per1015","per1016","per1021","per1022","per1023","per1024","per1025","per1026","per1031","per1032","per1033","per2021","per2022","per2023","per2031","per2032","per2033","per2041","per3011","per3051","per3052","per3053","per3054","per3055","per4011","per4012","per4013","per4014","per4121","per4122","per4123","per4124","per4131","per4132","per5021","per5031","per5041","per5061","per6011","per6012","per6013","per6014","per6061","per6071","per6072","per6081","per7051","per7052","per7061","per7062","per103_1","per103_2","per201_1","per201_2","per202_1","per202_2","per202_3","per202_4","per305_1","per305_2","per305_3","per305_4","per305_5","per305_6","per416_1","per416_2","per601_1","per601_2","per602_1","per602_2","per605_1","per605_2","per606_1","per606_2","per607_1","per607_2","per607_3","per608_1","per608_2","per608_3","per703_1","per703_2","rile","planeco","markeco","welfare","intpeace","datasetversion","id_perm"
"523",14,"Finland",10,0,1972-01-03,197201,14221,"Finnish People’s Democratic Union","SKDL",20,209,1,1995,0.669,NA,17.02,0,NA,37,200,1,10,"",80,2.5,2.5,0,0,0,0,1.25,0,0,0,0,0,3.75,0,0,0,0,0,0,27.5,1.25,1.25,0,0,0,1.25,0,1.25,0,0,0,11.25,0,0,2.5,0,0,0,10,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.5,11.25,1.25,22.5,1.25,"2018a","68O8YC"
"524",14,"Finland",10,0,1972-01-03,197201,14320,"Finnish Social Democrats","SSDP",30,208,1,1993,0.341,NA,25.785,0,NA,55,200,1,10,"",50,2,0,0,0,0,0,6,0,0,0,0,2,6,0,6,0,0,0,0,0,0,0,2,22,2,0,0,0,0,4,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58,24,0,20,6,"2018a","MWGKI6"
"525",14,"Finland",10,0,1972-01-03,197201,14420,"Liberal People’s Party","LKP",40,998,998,NA,NA,NA,5.157,0,NA,7,200,3,10,"",74.5,0,0,0,0,0,0,0,1.02,0,0,0,8.163,8.102,0,0,1,0,0.5,4.5,5.602,4.041,7.5,0,0,0,0,0,2.541,0,0,1,0,0,0,0,0,8.602,0,5.061,15.582,0,5.561,0,2,0,6.602,0,0,4.582,0,0,0,0,0,4.5,0.5,3.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.224,0,4.041,20.643,0,"2018a","TJEDDM"
"531",14,"Finland",10,0,1975-09-22,197509,14221,"Finnish People’s Democratic Union","SKDL",20,208,1,1993,0.341,NA,18.892,0,NA,40,200,1,10,"",94,0,1.064,0,1.064,0,0,1.064,1.064,0,1.064,3.191,0,10.638,0,0,3.191,0,0,0,0,0,0,0,8.511,3.191,1.064,0,4.255,0,2.128,0,1.064,2.128,0,0,0,4.255,0,10.638,14.894,0,4.255,0,0,0,0,0,0,11.702,0,0,8.511,0,0,0,1.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.553,9.574,0,25.532,1.064,"2018a","XAWCRU"
"532",14,"Finland",10,0,1975-09-22,197509,14320,"Finnish Social Democrats","SSDP",30,208,1,1993,0.341,NA,24.859,0,NA,54,200,1,10,"",36,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,2.778,11.111,0,0,0,0,0,0,0,22.222,0,0,0,0,2.778,2.778,25,0,0,8.333,0,0,0,0,0,0,16.667,0,0,2.778,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.333,36.111,0,25,0,"2018a","3UTMSX"
"533",14,"Finland",10,0,1975-09-22,197509,14420,"Liberal People’s Party","LKP",40,998,998,NA,NA,NA,4.347,0,NA,9,200,3,10,"",74.5,0,0,0,0,0,0,0,1.02,0,0,0,8.163,8.102,0,0,1,0,0.5,4.5,5.602,4.041,7.5,0,0,0,0,0,2.541,0,0,1,0,0,0,0,0,8.602,0,5.061,15.582,0,5.561,0,2,0,6.602,0,0,4.582,0,0,0,0,0,4.5,0.5,3.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.224,0,4.041,20.643,0,"2018a","CO7WY4"
"539",14,"Finland",10,0,1979-03-13,197903,14221,"Finnish People’s Democratic Union","SKDL",20,208,1,1993,0.341,NA,17.898,0,NA,35,200,1,10,"",98,0,2.041,0,0,0,0,1.02,2.041,0,0,0,0,5.102,3.061,0,0,0,0,0,0,0,0,14.286,6.122,0,0,0,0,0,1.02,2.041,2.041,2.041,0,0,0,3.061,1.02,16.327,0,0,7.143,0,0,0,0,0,0,26.531,0,0,3.061,0,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.265,22.449,0,16.327,1.02,"2018a","JLAQKA"
"540",14,"Finland",10,0,1979-03-13,197903,14320,"Finnish Social Democrats","SSDP",30,208,1,1993,0.341,NA,23.891,0,NA,52,200,1,10,"",162,0,1.852,0,0,0,0.617,1.235,2.469,0,0,0,3.086,8.642,0,0,3.704,0,0,0,0,0,0,0.617,21.605,0,0,0,6.79,0,0.617,2.469,0,0,0,0,0,4.938,2.469,13.58,0,0,8.642,0,0,0,0,0,0,5.556,0,0,4.938,0,4.321,0,0,1.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.123,22.222,0,13.58,1.852,"2018a","V9B8YZ"
"541",14,"Finland",10,0,1979-03-13,197903,14420,"Liberal People’s Party","LKP",40,209,1,1995,0.669,NA,3.682,0,NA,4,200,1,10,"",100,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,9,1,4,15,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,4,23,0,5,0,4,0,3,0,0,1,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,0,4,27,0,"2018a","ORB7NX"
"548",14,"Finland",10,0,1983-03-21,198303,14221,"Finnish People’s Democratic Union","SKDL",20,208,1,1993,0.341,NA,13.97,0,NA,27,200,1,10,"",140,0,2.143,0,0.714,0,1.429,5.714,3.571,0,0,0,4.286,24.286,0,2.143,0.714,0,0,0,0,0,0,0.714,17.857,0,0,0,0,0,0,0,0,0,0,0.714,0,3.571,2.143,7.143,4.286,0.714,0.714,0,0,0,0,0,0,2.143,0,0,12.143,0,2.143,0,0,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.286,18.571,0,11.429,7.143,"2018a","OZZ4CJ"
